epoch,a_mAP,a_mAP_visible,a_mAP_unshown,class_0_mAP,class_1_mAP,class_2_mAP,class_3_mAP,class_4_mAP,class_5_mAP,class_6_mAP,class_7_mAP,class_8_mAP,class_9_mAP,class_10_mAP,class_11_mAP,class_12_mAP,class_13_mAP,class_14_mAP,class_15_mAP,class_16_mAP
186,0.4250008609031327,0.44886024525456525,0.3533740218862327,0.278478220344249,0.4105249000710378,0.6688997268657576,0.5659986994427012,0.2135987364717862,0.33176043894284063,0.2899315301216066,0.49939877471103483,0.664142846042495,0.6040851892838988,0.5152498462048583,0.39109376954144076,0.41007936511569354,0.7132423871040124,0.4387272346742238,0.2298029704156187,0.0
191,0.4305498320719608,0.4578486530495024,0.3278468552739453,0.3944783178254253,0.4198722872583428,0.7673047391417736,0.5600986835321872,0.23347811029925084,0.32291756341634603,0.24280686662164735,0.524821564661367,0.6710214506031875,0.6084468247928028,0.4989016805682078,0.38960516206971646,0.4045601951162748,0.721211847771998,0.4260633568650216,0.1337584946797851,0.0
196,0.4193147323358176,0.45214629941050827,0.3470401232962384,0.3401223390149348,0.4034943374574749,0.7391870906540895,0.5789598037522097,0.18770451624626103,0.3312369937487621,0.25774979601992043,0.5187617710987188,0.6570907483222604,0.5857765025805505,0.4918992959937593,0.37124094715656325,0.4438985823103036,0.7107982231209432,0.4030366277269735,0.107392874505174,0.0
201,0.42288739690003935,0.452094948810387,0.3512541321535233,0.3434708077537231,0.3957422234288858,0.7246191706501031,0.540926211214521,0.238994027766691,0.31624387241213764,0.26138167282526054,0.5128407104589353,0.6767912300392931,0.6115287975467246,0.5051312374965758,0.3898954993495962,0.4421892572774687,0.7063344937990682,0.42854366831541696,0.09445286696626783,0.0
206,0.42815436783142274,0.45340274247741313,0.2993026284696494,0.3213926621143739,0.41848264882356245,0.721693138703914,0.5544717292143877,0.24896472203016917,0.33113247256250045,0.27674854394613796,0.5218781719589732,0.6635023149981252,0.5955551550934274,0.49977972987265334,0.3956672017995682,0.4463318379968295,0.7094594027428506,0.40102070654886446,0.17254381472785021,0.0
211,0.4236821620376562,0.4523453446948764,0.3617425513968421,0.2635114747511441,0.42072583657732204,0.6479079194172371,0.5591772836064616,0.24713714462658257,0.31886789482435907,0.3002025097217479,0.5237393818557167,0.6630251312907551,0.6064465773794943,0.5128231510766234,0.40104740829346275,0.4269712022106832,0.7264195655409599,0.44364535822401957,0.1409489152435861,0.0
216,0.42968429598990926,0.4539617960862934,0.3406041072112437,0.2464120394834182,0.42527583379845163,0.7425867841794803,0.5611792361608939,0.2379221613840984,0.3211418207845598,0.2927096833329961,0.520388605295158,0.6659112462154587,0.608857144602584,0.50433394542601,0.3872246691492018,0.3968345310723833,0.7095013604029927,0.4581115765711034,0.22624239396966672,0.0
221,0.43009094284850874,0.45398413758187167,0.32752053383867585,0.24069491114945663,0.4076151732690318,0.7548103410970411,0.5912977021227046,0.2551418285633222,0.30419636031281866,0.26634048601243443,0.5205840744537329,0.6703541671368366,0.6204472256945631,0.5171056975465451,0.40916951751787556,0.4205494634114232,0.723241353871448,0.4474505568545384,0.16254716941087582,0.0
226,0.43294224737145603,0.45475452889643786,0.359596486942935,0.2613228713435325,0.42399148900360994,0.7302156481574901,0.5719874326333265,0.24221010325126616,0.31862636726622673,0.26012677202669127,0.5386805635296835,0.6721159001350216,0.6246568316057857,0.4985879724454589,0.40215010452798444,0.4208773098696868,0.7316476535442804,0.4703826085093926,0.19243857746531542,0.0
231,0.4318952349178342,0.4621788425793189,0.3580837349147202,0.37841073068345804,0.4270576417031091,0.7297474015639578,0.5664617983830277,0.19951343258947887,0.32642657959994476,0.2916282149488781,0.5267025316059786,0.6645536317710441,0.6103101620138363,0.5193647098984379,0.4042553883058047,0.42180578736188834,0.7371867781081377,0.4682051981135579,0.07058900695264332,0.0
236,0.4297587503679399,0.4538231882660737,0.35006066940728264,0.37576374063818835,0.4244528393420649,0.7403182379574605,0.5728371550565283,0.18556765846631473,0.3111079449059237,0.2655951745694972,0.527743066151307,0.6650140611476846,0.6232330643285399,0.5080048628317047,0.40460656739092943,0.4123715028903178,0.7249490049177896,0.44366874533650674,0.12066513032422126,0.0
